Categoria: Todas as categorias

Semana,iphone 16: (Brasil)
2023-08-27,<1
2023-09-03,<1
2023-09-10,1
2023-09-17,1
2023-09-24,1
2023-10-01,1
2023-10-08,1
2023-10-15,1
2023-10-22,1
2023-10-29,1
2023-11-05,1
2023-11-12,2
2023-11-19,2
2023-11-26,1
2023-12-03,1
2023-12-10,2
2023-12-17,2
2023-12-24,2
2023-12-31,2
2024-01-07,2
2024-01-14,2
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,4
2024-02-18,5
2024-02-25,4
2024-03-03,4
2024-03-10,3
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,4
2024-04-14,4
2024-04-21,4
2024-04-28,5
2024-05-05,5
2024-05-12,5
2024-05-19,5
2024-05-26,7
2024-06-02,7
2024-06-09,6
2024-06-16,6
2024-06-23,6
2024-06-30,6
2024-07-07,7
2024-07-14,11
2024-07-21,11
2024-07-28,10
2024-08-04,10
2024-08-11,12
2024-08-18,13
2024-08-25,18
2024-09-01,19
2024-09-08,100
2024-09-15,38
2024-09-22,61
2024-09-29,44
2024-10-06,33
2024-10-13,34
2024-10-20,32
2024-10-27,32
2024-11-03,32
2024-11-10,36
2024-11-17,37
2024-11-24,47
2024-12-01,37
2024-12-08,34
2024-12-15,35
2024-12-22,42
2024-12-29,36
2025-01-05,38
2025-01-12,34
2025-01-19,35
2025-01-26,36
2025-02-02,35
2025-02-09,34
2025-02-16,42
2025-02-23,39
2025-03-02,44
2025-03-09,43
2025-03-16,42
2025-03-23,41
2025-03-30,39
2025-04-06,41
2025-04-13,39
2025-04-20,41
2025-04-27,45
2025-05-04,48
2025-05-11,45
2025-05-18,40
2025-05-25,40
2025-06-01,42
2025-06-08,45
2025-06-15,43
2025-06-22,41
2025-06-29,46
2025-07-06,52
2025-07-13,51
2025-07-20,47
2025-07-27,46
2025-08-03,47
2025-08-10,45
2025-08-17,47
2025-08-24,42
2025-08-31,49
2025-09-07,67
2025-09-14,64
2025-09-21,68
2025-09-28,56
2025-10-05,56
2025-10-12,56
